iter	Passed	Remaining
0	152	152692
1	155	77563
2	157	52351
3	162	40359
4	165	32968
5	168	27838
6	170	24127
7	172	21336
8	177	19514
9	182	18056
10	184	16607
11	186	15341
12	188	14281
13	190	13446
14	194	12743
15	196	12066
16	198	11455
17	199	10898
18	201	10414
19	203	9981
20	208	9707
21	210	9357
22	212	9023
23	213	8697
24	215	8396
25	216	8121
26	218	7865
27	220	7648
28	223	7475
29	225	7279
30	227	7096
31	228	6911
32	229	6735
33	231	6576
34	232	6419
35	234	6271
36	238	6204
37	240	6083
38	242	5964
39	243	5844
40	244	5727
41	246	5619
42	247	5516
43	249	5415
44	251	5346
45	253	5262
46	255	5182
47	256	5096
48	258	5015
49	259	4938
50	261	4863
51	262	4788
52	263	4717
53	267	4692
54	269	4632
55	271	4574
56	272	4511
57	274	4451
58	275	4390
59	276	4332
60	277	4275
61	278	4220
62	281	4187
63	283	4147
64	285	4103
65	286	4058
66	288	4012
67	289	3969
68	290	3924
69	292	3880
70	293	3836
71	296	3826
72	298	3795
73	300	3759
74	301	3722
75	303	3684
76	304	3645
77	305	3607
78	306	3570
79	307	3535
80	308	3500
81	310	3477
82	312	3451
83	314	3424
84	315	3398
85	317	3369
86	318	3340
87	319	3311
88	320	3283
89	321	3255
90	323	3228
91	328	3242
92	330	3226
93	332	3204
94	333	3179
95	335	3155
96	336	3129
97	337	3105
98	338	3080
99	340	3068
100	343	3054
101	345	3037
102	346	3017
103	347	2996
104	349	2976
105	350	2956
106	352	2938
107	353	2917
108	357	2925
109	359	2909
110	362	2903
111	364	2887
112	365	2870
113	366	2852
114	368	2832
115	369	2814
116	371	2802
117	373	2788
118	374	2774
119	376	2757
120	377	2741
121	378	2722
122	379	2705
123	380	2690
124	382	2676
125	383	2659
126	386	2659
127	388	2648
128	390	2636
129	391	2622
130	392	2606
131	394	2591
132	395	2576
133	396	2562
134	397	2547
135	398	2533
136	402	2533
137	403	2521
138	405	2510
139	406	2497
140	407	2485
141	408	2470
142	410	2460
143	411	2448
144	413	2436
145	419	2451
146	420	2442
147	422	2431
148	423	2419
149	424	2406
150	425	2394
151	426	2381
152	428	2369
153	429	2358
154	431	2353
155	433	2345
156	435	2339
157	436	2328
158	438	2316
159	439	2305
160	439	2292
161	440	2281
162	442	2269
163	443	2259
164	446	2261
165	448	2254
166	450	2245
167	451	2236
168	452	2225
169	453	2214
170	454	2204
171	455	2193
172	456	2183
173	457	2173
174	459	2164
175	461	2162
176	463	2155
177	465	2149
178	466	2140
179	467	2130
180	468	2121
181	470	2112
182	470	2102
183	472	2093
184	473	2084
185	476	2084
186	478	2078
187	479	2071
188	481	2064
189	482	2055
190	483	2047
191	484	2038
192	485	2030
193	486	2021
194	487	2013
195	489	2005
196	490	2001
197	493	1996
198	494	1990
199	495	1983
200	497	1976
201	498	1969
202	499	1961
203	500	1953
204	501	1946
205	503	1939
206	504	1931
207	505	1924
208	506	1917
209	507	1909
210	508	1901
211	510	1898
212	512	1894
213	514	1889
214	515	1883
215	517	1876
216	518	1869
217	519	1862
218	520	1855
219	521	1848
220	522	1841
221	523	1834
222	525	1831
223	528	1831
224	530	1826
225	531	1821
226	533	1815
227	534	1809
228	535	1803
229	536	1796
230	537	1790
231	539	1785
232	541	1783
233	543	1779
234	545	1774
235	546	1769
236	547	1763
237	549	1757
238	550	1751
239	551	1745
240	552	1739
241	553	1733
242	558	1739
243	560	1737
244	562	1734
245	564	1728
246	565	1723
247	566	1717
248	567	1711
249	568	1705
250	571	1704
251	573	1702
252	575	1698
253	576	1693
254	577	1687
255	578	1682
256	580	1676
257	582	1673
258	583	1669
259	588	1676
260	590	1672
261	592	1669
262	594	1664
263	595	1659
264	596	1654
265	597	1648
266	598	1643
267	600	1639
268	603	1639
269	605	1635
270	606	1632
271	608	1628
272	609	1622
273	610	1618
274	612	1614
275	613	1609
276	616	1609
277	618	1606
278	620	1603
279	621	1599
